gamma,targetVoter,rounds,samplesPerWorld,empiricalAdvantage,theoryAdvantage,uncappedTheoryAdvantage,etaL2,maxAbsCoordinateDelta,kappa,rhoTau
0.02,2,1,10000,0.379300,0.500000,2.427655,0.961302,0.754193,100,3000000
0.02,2,2,10000,0.465100,0.500000,3.433222,0.961302,0.754193,100,3000000
0.02,2,3,10000,0.488800,0.500000,4.204821,0.961302,0.754193,100,3000000
0.02,2,4,10000,0.496350,0.500000,4.855309,0.961302,0.754193,100,3000000
0.02,2,5,10000,0.497850,0.500000,5.428401,0.961302,0.754193,100,3000000
0.02,2,6,10000,0.499500,0.500000,5.946515,0.961302,0.754193,100,3000000
0.02,2,7,10000,0.499850,0.500000,6.422970,0.961302,0.754193,100,3000000
0.02,2,8,10000,0.500000,0.500000,6.866444,0.961302,0.754193,100,3000000
0.02,2,9,10000,0.499850,0.500000,7.282964,0.961302,0.754193,100,3000000
0.02,2,10,10000,0.500000,0.500000,7.676918,0.961302,0.754193,100,3000000
0.02,2,11,10000,0.500000,0.500000,8.051619,0.961302,0.754193,100,3000000
0.02,2,12,10000,0.500000,0.500000,8.409642,0.961302,0.754193,100,3000000
0.02,2,13,10000,0.500000,0.500000,8.753033,0.961302,0.754193,100,3000000
0.02,2,14,10000,0.500000,0.500000,9.083451,0.961302,0.754193,100,3000000
0.02,2,15,10000,0.500000,0.500000,9.402265,0.961302,0.754193,100,3000000
0.02,2,16,10000,0.500000,0.500000,9.710618,0.961302,0.754193,100,3000000
0.02,2,17,10000,0.500000,0.500000,10.009476,0.961302,0.754193,100,3000000
0.02,2,18,10000,0.500000,0.500000,10.299666,0.961302,0.754193,100,3000000
0.02,2,19,10000,0.500000,0.500000,10.581901,0.961302,0.754193,100,3000000
0.02,2,20,10000,0.500000,0.500000,10.856801,0.961302,0.754193,100,3000000
0.02,2,21,10000,0.500000,0.500000,11.124911,0.961302,0.754193,100,3000000
0.02,2,22,10000,0.500000,0.500000,11.386709,0.961302,0.754193,100,3000000
0.02,2,23,10000,0.500000,0.500000,11.642622,0.961302,0.754193,100,3000000
0.02,2,24,10000,0.500000,0.500000,11.893030,0.961302,0.754193,100,3000000
0.02,2,25,10000,0.500000,0.500000,12.138273,0.961302,0.754193,100,3000000
0.02,2,26,10000,0.500000,0.500000,12.378658,0.961302,0.754193,100,3000000
0.02,2,27,10000,0.500000,0.500000,12.614463,0.961302,0.754193,100,3000000
0.02,2,28,10000,0.500000,0.500000,12.845940,0.961302,0.754193,100,3000000
0.02,2,29,10000,0.500000,0.500000,13.073320,0.961302,0.754193,100,3000000
