profile,mode,lotteryMode,psiScaled,rhoEff,voterIndex,coordinateIndex,directRingCoordinate,originalReport,flippedReport,originalQ,flippedQ,absDeltaQ,deltaThreshold
maci_anvil_reports,baseline,baseline,0,3000000,0,0,1,1,0,0.00000000,0.07024387,0.07024387,301695167
maci_anvil_reports,baseline,baseline,0,3000000,0,1,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,0,2,0,1,0,0.77419333,0.13714283,0.63705049,2736111035
maci_anvil_reports,baseline,baseline,0,3000000,0,3,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,0,4,0,1,0,0.77419333,0.07024387,0.70394945,3023439880
maci_anvil_reports,baseline,baseline,0,3000000,0,5,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,0,6,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,0,7,1,1,0,0.00000000,0.07024387,0.07024387,301695167
maci_anvil_reports,baseline,baseline,0,3000000,1,0,1,0,1,0.00000000,0.07024387,0.07024387,301695167
maci_anvil_reports,baseline,baseline,0,3000000,1,1,1,0,1,0.00000000,0.07024387,0.07024387,301695167
maci_anvil_reports,baseline,baseline,0,3000000,1,2,0,0,1,0.77419333,0.07024387,0.70394945,3023439880
maci_anvil_reports,baseline,baseline,0,3000000,1,3,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,1,4,0,0,1,0.77419333,0.13714283,0.63705049,2736111035
maci_anvil_reports,baseline,baseline,0,3000000,1,5,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,1,6,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,1,7,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,2,0,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,2,1,1,1,0,0.00000000,0.07024387,0.07024387,301695167
maci_anvil_reports,baseline,baseline,0,3000000,2,2,1,1,0,0.77419333,0.00000000,0.77419333,3325135047
maci_anvil_reports,baseline,baseline,0,3000000,2,3,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,2,4,0,1,0,0.77419333,0.07024387,0.70394945,3023439880
maci_anvil_reports,baseline,baseline,0,3000000,2,5,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,2,6,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,2,7,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,3,0,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,3,1,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,3,2,1,1,0,0.77419333,0.00000000,0.77419333,3325135047
maci_anvil_reports,baseline,baseline,0,3000000,3,3,1,1,0,0.00000000,0.07024387,0.07024387,301695167
maci_anvil_reports,baseline,baseline,0,3000000,3,4,0,1,0,0.77419333,0.07024387,0.70394945,3023439880
maci_anvil_reports,baseline,baseline,0,3000000,3,5,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,3,6,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,3,7,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,4,0,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,4,1,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,4,2,0,0,1,0.77419333,0.07024387,0.70394945,3023439880
maci_anvil_reports,baseline,baseline,0,3000000,4,3,1,0,1,0.00000000,0.07024387,0.07024387,301695167
maci_anvil_reports,baseline,baseline,0,3000000,4,4,1,0,1,0.77419333,0.00000000,0.77419333,3325135047
maci_anvil_reports,baseline,baseline,0,3000000,4,5,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,4,6,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,4,7,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,5,0,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,5,1,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,5,2,0,0,1,0.77419333,0.07024387,0.70394945,3023439880
maci_anvil_reports,baseline,baseline,0,3000000,5,3,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,5,4,1,0,1,0.77419333,0.00000000,0.77419333,3325135047
maci_anvil_reports,baseline,baseline,0,3000000,5,5,1,0,1,0.00000000,0.07024387,0.07024387,301695167
maci_anvil_reports,baseline,baseline,0,3000000,5,6,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,5,7,0,0,1,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,6,0,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,6,1,0,1,0,0.00000000,0.00000000,0.00000000,0
maci_anvil_reports,baseline,baseline,0,3000000,6,2,0,1,0,0.77419333,0.13714283,0.63705049,2736111035
