profile,smoothing,kappa,maxPayoutShareMean,maxPayoutShareStdErr,maxPayoutShareCiLow,maxPayoutShareCiHigh,maxPayoutShareP05,maxPayoutShareP50,maxPayoutShareP95,peerMatchPayoutShareMean,peerMatchPayoutShareP05,peerMatchPayoutShareP95,winnerCountMean,winnerCountP05,winnerCountP95,samples,reports
maci_anvil_reports,1,0,0.125000,0.000000,0.125000,0.125000,0.125000,0.125000,0.125000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000,512,10110010
maci_anvil_reports,1,1,0.133522,0.003796,0.126081,0.140963,0.125000,0.125000,0.125000,0.257305,0.250000,0.250000,0.009766,0.000000,0.000000,512,10110010
maci_anvil_reports,1,5,0.182951,0.009612,0.164111,0.201791,0.125000,0.125000,0.997673,0.299672,0.250000,0.998005,0.066406,0.000000,1.000000,512,10110010
maci_anvil_reports,1,10,0.239929,0.013027,0.214395,0.265462,0.125000,0.125000,0.997673,0.349346,0.250000,0.998005,0.134766,0.000000,1.000000,512,10110010
maci_anvil_reports,1,25,0.406246,0.017763,0.371430,0.441062,0.125000,0.125000,0.997673,0.502771,0.250000,0.998005,0.365234,0.000000,1.000000,512,10110010
maci_anvil_reports,1,50,0.609129,0.017838,0.574166,0.644091,0.125000,0.499500,0.997673,0.723483,0.250000,0.999001,0.769531,0.000000,2.000000,512,10110010
maci_anvil_reports,1,100,0.666083,0.011804,0.642948,0.689218,0.499500,0.499500,0.997673,0.962059,0.998005,0.999001,1.531250,1.000000,2.000000,512,10110010
alternating,1,0,0.125000,0.000000,0.125000,0.125000,0.125000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,512,10101010
alternating,1,1,0.125000,0.000000,0.125000,0.125000,0.125000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,512,10101010
alternating,1,5,0.125000,0.000000,0.125000,0.125000,0.125000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,512,10101010
alternating,1,10,0.125000,0.000000,0.125000,0.125000,0.125000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,512,10101010
alternating,1,25,0.125000,0.000000,0.125000,0.125000,0.125000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,512,10101010
alternating,1,50,0.125000,0.000000,0.125000,0.125000,0.125000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,512,10101010
alternating,1,100,0.125000,0.000000,0.125000,0.125000,0.125000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,512,10101010
one_sided,1,0,0.125000,0.000000,0.125000,0.125000,0.125000,0.125000,0.125000,0.750000,0.750000,0.750000,0.000000,0.000000,0.000000,512,11111110
one_sided,1,1,0.150567,0.006510,0.137807,0.163327,0.125000,0.125000,0.125000,0.757305,0.750000,0.750000,0.029297,0.000000,0.000000,512,11111110
one_sided,1,5,0.220207,0.011976,0.196734,0.243680,0.125000,0.125000,0.997673,0.777759,0.750000,0.999334,0.115234,0.000000,1.000000,512,11111110
one_sided,1,10,0.307140,0.015483,0.276794,0.337486,0.125000,0.125000,0.997673,0.804548,0.750000,0.999334,0.236328,0.000000,1.000000,512,11111110
one_sided,1,25,0.468609,0.018006,0.433317,0.503901,0.125000,0.125000,0.997673,0.861550,0.750000,0.999666,0.550781,0.000000,2.000000,512,11111110
one_sided,1,50,0.582631,0.016692,0.549913,0.615348,0.125000,0.499500,0.997673,0.925417,0.750000,0.999777,1.087891,0.000000,3.000000,512,11111110
one_sided,1,100,0.513309,0.012708,0.488403,0.538216,0.125000,0.499500,0.997673,0.985013,0.750000,0.999833,2.220703,0.000000,4.000000,512,11111110
consensus,1,0,0.125000,0.000000,0.125000,0.125000,0.125000,0.125000,0.125000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,512,11111111
consensus,1,1,0.145453,0.005840,0.134006,0.156901,0.125000,0.125000,0.125000,1.000000,1.000000,1.000000,0.023438,0.000000,0.000000,512,11111111
consensus,1,5,0.225320,0.012256,0.201299,0.249342,0.125000,0.125000,0.997673,1.000000,1.000000,1.000000,0.121094,0.000000,1.000000,512,11111111
consensus,1,10,0.316559,0.015692,0.285802,0.347316,0.125000,0.125000,0.997673,1.000000,1.000000,1.000000,0.261719,0.000000,1.000000,512,11111111
consensus,1,25,0.482264,0.017732,0.447510,0.517019,0.125000,0.125000,0.997674,1.000000,1.000000,1.000000,0.650391,0.000000,2.000000,512,11111111
consensus,1,50,0.585972,0.015645,0.555308,0.616636,0.125000,0.499500,0.997674,1.000000,1.000000,1.000000,1.320313,0.000000,3.000000,512,11111111
consensus,1,100,0.452763,0.011488,0.430247,0.475278,0.199960,0.333149,0.997673,1.000000,1.000000,1.000000,2.685547,1.000000,5.000000,512,11111111
