trial,totalPayout,winnerCount,cumulativeMeanPayout,cumulativeMeanWinners,theoreticalExpectedPayout,theoreticalExpectedWinners
1,3000000,1,3000000.00,1.0000,3298249,1.099416
2,3000000,1,3000000.00,1.0000,3298249,1.099416
3,6000000,2,4000000.00,1.3333,3298249,1.099416
4,6000000,2,4500000.00,1.5000,3298249,1.099416
5,3000000,1,4200000.00,1.4000,3298249,1.099416
6,3000000,1,4000000.00,1.3333,3298249,1.099416
7,3000000,1,3857142.85,1.2857,3298249,1.099416
8,3000000,1,3750000.00,1.2500,3298249,1.099416
9,6000000,2,4000000.00,1.3333,3298249,1.099416
10,3000000,1,3900000.00,1.3000,3298249,1.099416
11,3000000,1,3818181.81,1.2727,3298249,1.099416
12,0,0,3500000.00,1.1667,3298249,1.099416
13,3000000,1,3461538.46,1.1538,3298249,1.099416
14,6000000,2,3642857.14,1.2143,3298249,1.099416
15,3000000,1,3600000.00,1.2000,3298249,1.099416
16,3000000,1,3562500.00,1.1875,3298249,1.099416
17,3000000,1,3529411.76,1.1765,3298249,1.099416
18,6000000,2,3666666.66,1.2222,3298249,1.099416
19,0,0,3473684.21,1.1579,3298249,1.099416
20,6000000,2,3600000.00,1.2000,3298249,1.099416
21,6000000,2,3714285.71,1.2381,3298249,1.099416
22,6000000,2,3818181.81,1.2727,3298249,1.099416
23,0,0,3652173.91,1.2174,3298249,1.099416
24,6000000,2,3750000.00,1.2500,3298249,1.099416
25,6000000,2,3840000.00,1.2800,3298249,1.099416
26,3000000,1,3807692.30,1.2692,3298249,1.099416
27,3000000,1,3777777.77,1.2593,3298249,1.099416
28,3000000,1,3750000.00,1.2500,3298249,1.099416
29,3000000,1,3724137.93,1.2414,3298249,1.099416
30,3000000,1,3700000.00,1.2333,3298249,1.099416
31,6000000,2,3774193.54,1.2581,3298249,1.099416
32,6000000,2,3843750.00,1.2813,3298249,1.099416
33,3000000,1,3818181.81,1.2727,3298249,1.099416
34,3000000,1,3794117.64,1.2647,3298249,1.099416
35,3000000,1,3771428.57,1.2571,3298249,1.099416
36,3000000,1,3750000.00,1.2500,3298249,1.099416
37,3000000,1,3729729.72,1.2432,3298249,1.099416
38,3000000,1,3710526.31,1.2368,3298249,1.099416
39,6000000,2,3769230.76,1.2564,3298249,1.099416
40,0,0,3675000.00,1.2250,3298249,1.099416
41,3000000,1,3658536.58,1.2195,3298249,1.099416
42,3000000,1,3642857.14,1.2143,3298249,1.099416
43,6000000,2,3697674.41,1.2326,3298249,1.099416
44,3000000,1,3681818.18,1.2273,3298249,1.099416
45,3000000,1,3666666.66,1.2222,3298249,1.099416
46,0,0,3586956.52,1.1957,3298249,1.099416
47,3000000,1,3574468.08,1.1915,3298249,1.099416
48,3000000,1,3562500.00,1.1875,3298249,1.099416
49,3000000,1,3551020.40,1.1837,3298249,1.099416
50,3000000,1,3540000.00,1.1800,3298249,1.099416
51,3000000,1,3529411.76,1.1765,3298249,1.099416
52,3000000,1,3519230.76,1.1731,3298249,1.099416
53,3000000,1,3509433.96,1.1698,3298249,1.099416
54,3000000,1,3500000.00,1.1667,3298249,1.099416
55,3000000,1,3490909.09,1.1636,3298249,1.099416
56,0,0,3428571.42,1.1429,3298249,1.099416
57,6000000,2,3473684.21,1.1579,3298249,1.099416
58,0,0,3413793.10,1.1379,3298249,1.099416
59,3000000,1,3406779.66,1.1356,3298249,1.099416
60,0,0,3350000.00,1.1167,3298249,1.099416
61,3000000,1,3344262.29,1.1148,3298249,1.099416
62,3000000,1,3338709.67,1.1129,3298249,1.099416
63,6000000,2,3380952.38,1.1270,3298249,1.099416
64,3000000,1,3375000.00,1.1250,3298249,1.099416
65,3000000,1,3369230.76,1.1231,3298249,1.099416
66,3000000,1,3363636.36,1.1212,3298249,1.099416
67,3000000,1,3358208.95,1.1194,3298249,1.099416
68,3000000,1,3352941.17,1.1176,3298249,1.099416
69,3000000,1,3347826.08,1.1159,3298249,1.099416
70,3000000,1,3342857.14,1.1143,3298249,1.099416
71,3000000,1,3338028.16,1.1127,3298249,1.099416
72,3000000,1,3333333.33,1.1111,3298249,1.099416
73,6000000,2,3369863.01,1.1233,3298249,1.099416
74,0,0,3324324.32,1.1081,3298249,1.099416
75,0,0,3280000.00,1.0933,3298249,1.099416
76,0,0,3236842.10,1.0789,3298249,1.099416
77,0,0,3194805.19,1.0649,3298249,1.099416
