profile,smoothing,kappa,rewardBudget,totalScore,totalAllocationScore,totalPayout,minPayout,medianPayout,maxPayout,paidRecipientCount,reports
maci_anvil_reports,1,0,1000000,0,8000,1000000,125000,125000,125000,8,10110010
maci_anvil_reports,1,0,3000000,0,8000,3000000,375000,375000,375000,8,10110010
maci_anvil_reports,1,0,10000000,0,8000,10000000,1250000,1250000,1250000,8,10110010
maci_anvil_reports,1,1,1000000,46450,8000,1000000,125000,125000,125000,8,10110010
maci_anvil_reports,1,1,3000000,46450,8000,3000000,375000,375000,375000,8,10110010
maci_anvil_reports,1,1,10000000,46450,8000,10000000,1250000,1250000,1250000,8,10110010
maci_anvil_reports,1,5,1000000,232258,8000,1000000,125000,125000,125000,8,10110010
maci_anvil_reports,1,5,3000000,232258,8000,3000000,375000,375000,375000,8,10110010
maci_anvil_reports,1,5,10000000,232258,8000,10000000,1250000,1250000,1250000,8,10110010
maci_anvil_reports,1,10,1000000,464516,8000,1000000,125000,125000,125000,8,10110010
maci_anvil_reports,1,10,3000000,464516,8000,3000000,375000,375000,375000,8,10110010
maci_anvil_reports,1,10,10000000,464516,8000,10000000,1250000,1250000,1250000,8,10110010
maci_anvil_reports,1,25,1000000,1161290,8000,1000000,125000,125000,125000,8,10110010
maci_anvil_reports,1,25,3000000,1161290,8000,3000000,375000,375000,375000,8,10110010
maci_anvil_reports,1,25,10000000,1161290,8000,10000000,1250000,1250000,1250000,8,10110010
maci_anvil_reports,1,50,1000000,2322580,8000,1000000,125000,125000,125000,8,10110010
maci_anvil_reports,1,50,3000000,2322580,8000,3000000,375000,375000,375000,8,10110010
maci_anvil_reports,1,50,10000000,2322580,8000,10000000,1250000,1250000,1250000,8,10110010
maci_anvil_reports,1,100,1000000,4645160,3008000,1000000,332,332,997672,8,10110010
maci_anvil_reports,1,100,3000000,4645160,3008000,3000000,997,997,2993018,8,10110010
maci_anvil_reports,1,100,10000000,4645160,3008000,10000000,3324,3324,9976728,8,10110010
maci_anvil_reports,2,0,1000000,0,8000,1000000,125000,125000,125000,8,10110010
maci_anvil_reports,2,0,3000000,0,8000,3000000,375000,375000,375000,8,10110010
maci_anvil_reports,2,0,10000000,0,8000,10000000,1250000,1250000,1250000,8,10110010
maci_anvil_reports,2,1,1000000,46250,8000,1000000,125000,125000,125000,8,10110010
