mode,instanceId,expectedTruthfulReward,expectedShortcutReward,expectedRewardGap
baseline,0,1628048.500000,1014084.000000,613964.5
psi=0.05,0,1615243.650000,1062675.600000,552568.05
psi=0.10,0,1602438.800000,1111267.200000,491171.6000000001
psi=0.20,0,1576829.100000,1208450.400000,368378.7000000002
psi=0.30,0,1551219.400000,1305633.600000,245585.7999999998
baseline,1,885245.250000,705882.000000,179363.25
psi=0.05,1,946720.725000,785293.800000,161426.92500000016
psi=0.10,1,1008196.200000,864705.600000,143490.59999999998
psi=0.20,1,1131147.150000,1023529.200000,107617.94999999984
psi=0.30,1,1254098.100000,1182352.800000,71745.30000000028
baseline,2,1014084.000000,885245.250000,128838.75
psi=0.05,2,1062675.600000,946720.725000,115954.875
psi=0.10,2,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,2,1208450.400000,1131147.150000,77303.25
psi=0.30,2,1305633.600000,1254098.100000,51535.5
baseline,3,1014084.000000,1628048.500000,-613964.5
psi=0.05,3,1062675.600000,1615243.650000,-552568.05
psi=0.10,3,1111267.200000,1602438.800000,-491171.6000000001
psi=0.20,3,1208450.400000,1576829.100000,-368378.7000000002
psi=0.30,3,1305633.600000,1551219.400000,-245585.7999999998
baseline,4,885245.250000,1014084.000000,-128838.75
psi=0.05,4,946720.725000,1062675.600000,-115954.875
psi=0.10,4,1008196.200000,1111267.200000,-103071.00000000012
psi=0.20,4,1131147.150000,1208450.400000,-77303.25
psi=0.30,4,1254098.100000,1305633.600000,-51535.5
baseline,5,1741935.000000,885245.250000,856689.75
psi=0.05,5,1717741.500000,946720.725000,771020.7749999999
psi=0.10,5,1693548.000000,1008196.200000,685351.7999999999
psi=0.20,5,1645161.000000,1131147.150000,514013.84999999986
psi=0.30,5,1596774.000000,1254098.100000,342675.90000000014
baseline,6,885245.250000,705882.000000,179363.25
psi=0.05,6,946720.725000,785293.800000,161426.92500000016
psi=0.10,6,1008196.200000,864705.600000,143490.59999999998
psi=0.20,6,1131147.150000,1023529.200000,107617.94999999984
psi=0.30,6,1254098.100000,1182352.800000,71745.30000000028
baseline,7,1014084.000000,885245.250000,128838.75
psi=0.05,7,1062675.600000,946720.725000,115954.875
psi=0.10,7,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,7,1208450.400000,1131147.150000,77303.25
psi=0.30,7,1305633.600000,1254098.100000,51535.5
baseline,8,885245.250000,1741935.000000,-856689.75
psi=0.05,8,946720.725000,1717741.500000,-771020.7749999999
psi=0.10,8,1008196.200000,1693548.000000,-685351.7999999999
psi=0.20,8,1131147.150000,1645161.000000,-514013.84999999986
psi=0.30,8,1254098.100000,1596774.000000,-342675.90000000014
baseline,9,1014084.000000,1014084.000000,0.0
psi=0.05,9,1062675.600000,1062675.600000,0.0
psi=0.10,9,1111267.200000,1111267.200000,0.0
psi=0.20,9,1208450.400000,1208450.400000,0.0
psi=0.30,9,1305633.600000,1305633.600000,0.0
baseline,10,1628048.500000,439024.250000,1189024.25
psi=0.05,10,1615243.650000,545121.825000,1070121.8250000002
psi=0.10,10,1602438.800000,651219.400000,951219.4000000001
psi=0.20,10,1576829.100000,863414.550000,713414.55
psi=0.30,10,1551219.400000,1075609.700000,475609.69999999995
baseline,11,705882.000000,1033536.375000,-327654.375
psi=0.05,11,785293.800000,1080182.737500,-294888.9375000001
psi=0.10,11,864705.600000,1126829.100000,-262123.5
psi=0.20,11,1023529.200000,1220121.825000,-196592.62500000012
psi=0.30,11,1182352.800000,1313414.550000,-131061.75000000023
baseline,12,885245.250000,580645.000000,304600.25
psi=0.05,12,946720.725000,672580.500000,274140.2250000001
psi=0.10,12,1008196.200000,764516.000000,243680.20000000007
psi=0.20,12,1131147.150000,948387.000000,182760.1499999999
psi=0.30,12,1254098.100000,1132258.000000,121840.1000000001
baseline,13,1014084.000000,1033536.375000,-19452.375
psi=0.05,13,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,13,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,13,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,13,1305633.600000,1313414.550000,-7780.949999999953
baseline,14,1014084.000000,705882.000000,308202.0
psi=0.05,14,1062675.600000,785293.800000,277381.80000000016
psi=0.10,14,1111267.200000,864705.600000,246561.6000000001
psi=0.20,14,1208450.400000,1023529.200000,184921.19999999984
