mode,psi,selector,selectedShare,selectedCount,targetReport,baseRate,precision,enrichment
baseline,0.00,payout,0.05,800,1,0.727812,0.727500,0.999571
baseline,0.00,payout,0.10,1600,1,0.727812,0.715000,0.982396
baseline,0.00,payout,0.20,3200,1,0.727812,0.716875,0.984972
baseline,0.00,payout,0.50,8000,1,0.727812,0.719750,0.988922
baseline,0.00,transcriptScore,0.05,800,1,0.727812,0.692500,0.951481
baseline,0.00,transcriptScore,0.10,1600,1,0.727812,0.648750,0.891370
baseline,0.00,transcriptScore,0.20,3200,1,0.727812,0.685625,0.942035
baseline,0.00,transcriptScore,0.50,8000,1,0.727812,0.698125,0.959210
psi=0.05,0.05,payout,0.05,800,1,0.727812,0.718750,0.987548
psi=0.05,0.05,payout,0.10,1600,1,0.727812,0.732500,1.006441
psi=0.05,0.05,payout,0.20,3200,1,0.727812,0.717187,0.985401
psi=0.05,0.05,payout,0.50,8000,1,0.727812,0.717500,0.985831
psi=0.05,0.05,transcriptScore,0.05,800,1,0.727812,0.701250,0.963504
psi=0.05,0.05,transcriptScore,0.10,1600,1,0.727812,0.670625,0.921426
psi=0.05,0.05,transcriptScore,0.20,3200,1,0.727812,0.679688,0.933877
psi=0.05,0.05,transcriptScore,0.50,8000,1,0.727812,0.705250,0.969000
psi=0.10,0.10,payout,0.05,800,1,0.727812,0.716250,0.984113
psi=0.10,0.10,payout,0.10,1600,1,0.727812,0.732500,1.006441
psi=0.10,0.10,payout,0.20,3200,1,0.727812,0.724063,0.994848
psi=0.10,0.10,payout,0.50,8000,1,0.727812,0.723250,0.993731
psi=0.10,0.10,transcriptScore,0.05,800,1,0.727812,0.705000,0.968656
psi=0.10,0.10,transcriptScore,0.10,1600,1,0.727812,0.689375,0.947188
psi=0.10,0.10,transcriptScore,0.20,3200,1,0.727812,0.699375,0.960927
psi=0.10,0.10,transcriptScore,0.50,8000,1,0.727812,0.716625,0.984629
psi=0.20,0.20,payout,0.05,800,1,0.727812,0.693750,0.953199
psi=0.20,0.20,payout,0.10,1600,1,0.727812,0.728125,1.000429
psi=0.20,0.20,payout,0.20,3200,1,0.727812,0.716250,0.984113
psi=0.20,0.20,payout,0.50,8000,1,0.727812,0.716875,0.984972
psi=0.20,0.20,transcriptScore,0.05,800,1,0.727812,0.646250,0.887935
psi=0.20,0.20,transcriptScore,0.10,1600,1,0.727812,0.665000,0.913697
psi=0.20,0.20,transcriptScore,0.20,3200,1,0.727812,0.688125,0.945470
psi=0.20,0.20,transcriptScore,0.50,8000,1,0.727812,0.708250,0.973122
psi=0.30,0.30,payout,0.05,800,1,0.727812,0.721250,0.990983
psi=0.30,0.30,payout,0.10,1600,1,0.727812,0.743750,1.021898
psi=0.30,0.30,payout,0.20,3200,1,0.727812,0.732812,1.006870
psi=0.30,0.30,payout,0.50,8000,1,0.727812,0.724875,0.995964
psi=0.30,0.30,transcriptScore,0.05,800,1,0.727812,0.717500,0.985831
psi=0.30,0.30,transcriptScore,0.10,1600,1,0.727812,0.723125,0.993559
psi=0.30,0.30,transcriptScore,0.20,3200,1,0.727812,0.713437,0.980249
psi=0.30,0.30,transcriptScore,0.50,8000,1,0.727812,0.723125,0.993559
