profile,smoothing,kappa,totalScore,totalAllocationScore,peerMatchCount,avgWinnerCount,peerMatchPayoutShare,maxPayoutShare,minScore,medianScore,maxScore,totalPayout,samples,reports
maci_anvil_reports,1,0,0,8000,2,0.000000,0.250000,0.125000,0,0,0,3000000,64,10110010
maci_anvil_reports,1,1,46450,8000,2,0.000000,0.250000,0.125000,0,0,23225,3000000,64,10110010
maci_anvil_reports,1,5,232258,8000,2,0.078125,0.308438,0.193178,0,0,116129,3000000,64,10110010
maci_anvil_reports,1,10,464516,8000,2,0.218750,0.401954,0.294478,0,0,232258,3000000,64,10110010
maci_anvil_reports,1,25,1161290,8000,2,0.578125,0.612408,0.500997,0,0,580645,3000000,64,10110010
maci_anvil_reports,1,50,2322580,8000,2,0.906250,0.799487,0.680246,0,0,1161290,3000000,64,10110010
maci_anvil_reports,1,100,4645160,3008000,2,1.734375,0.975392,0.588988,0,0,2322580,3000000,64,10110010
maci_anvil_reports,5,0,0,8000,2,0.000000,0.250000,0.125000,0,0,0,3000000,64,10110010
maci_anvil_reports,5,1,45714,8000,2,0.000000,0.250000,0.125000,0,0,22857,3000000,64,10110010
maci_anvil_reports,5,5,228570,8000,2,0.078125,0.308438,0.193178,0,0,114285,3000000,64,10110010
maci_anvil_reports,5,10,457142,8000,2,0.218750,0.401954,0.294478,0,0,228571,3000000,64,10110010
maci_anvil_reports,5,25,1142856,8000,2,0.562500,0.600721,0.487362,0,0,571428,3000000,64,10110010
maci_anvil_reports,5,50,2285714,8000,2,0.906250,0.799487,0.680246,0,0,1142857,3000000,64,10110010
maci_anvil_reports,5,100,4571428,3008000,2,1.703125,0.975361,0.604556,0,0,2285714,3000000,64,10110010
maci_anvil_reports,10,0,0,8000,2,0.000000,0.250000,0.125000,0,0,0,3000000,64,10110010
maci_anvil_reports,10,1,45000,8000,2,0.000000,0.250000,0.125000,0,0,22500,3000000,64,10110010
maci_anvil_reports,10,5,225000,8000,2,0.078125,0.308438,0.193178,0,0,112500,3000000,64,10110010
maci_anvil_reports,10,10,450000,8000,2,0.203125,0.390266,0.280842,0,0,225000,3000000,64,10110010
maci_anvil_reports,10,25,1125000,8000,2,0.531250,0.577346,0.460091,0,0,562500,3000000,64,10110010
maci_anvil_reports,10,50,2250000,8000,2,0.906250,0.799487,0.680246,0,0,1125000,3000000,64,10110010
maci_anvil_reports,10,100,4500000,3008000,2,1.703125,0.975361,0.604556,0,0,2250000,3000000,64,10110010
alternating,1,0,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,1,1,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,1,5,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,1,10,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,1,25,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,1,50,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,1,100,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,5,0,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,5,1,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,5,5,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,5,10,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,5,25,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,5,50,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,5,100,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,10,0,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
alternating,10,1,0,8000,0,0.000000,0.000000,0.125000,0,0,0,3000000,64,10101010
